"timeMillisSpent","score"
419,"[0]hard/[-122188/-103557808]soft"
424,"[0]hard/[-120906/-103803568]soft"
428,"[0]hard/[-119760/-102812080]soft"
495,"[0]hard/[-119442/-93890120]soft"
514,"[0]hard/[-118142/-94271356]soft"
516,"[0]hard/[-118098/-93309404]soft"
518,"[0]hard/[-118082/-93309404]soft"
551,"[0]hard/[-118070/-92027496]soft"
553,"[0]hard/[-117968/-92058664]soft"
948,"[0]hard/[-116268/-92818056]soft"
1439,"[0]hard/[-115296/-96055768]soft"
1494,"[0]hard/[-114998/-92870920]soft"
2306,"[0]hard/[-113982/-91151900]soft"
2337,"[0]hard/[-113716/-95193928]soft"
2449,"[0]hard/[-113520/-93120104]soft"
2574,"[0]hard/[-112482/-91127580]soft"
2574,"[0]hard/[-112428/-91127580]soft"
2580,"[0]hard/[-112388/-91127580]soft"
2859,"[0]hard/[-112070/-103808188]soft"
3006,"[0]hard/[-111958/-92746304]soft"
3006,"[0]hard/[-111932/-92358420]soft"
3103,"[0]hard/[-111904/-92140980]soft"
3197,"[0]hard/[-110912/-91547848]soft"
3197,"[0]hard/[-110858/-91547848]soft"
3339,"[0]hard/[-110804/-100077532]soft"
3488,"[0]hard/[-110278/-101273544]soft"
3649,"[0]hard/[-109408/-90669276]soft"
3653,"[0]hard/[-109400/-90991412]soft"
3653,"[0]hard/[-109302/-90991412]soft"
3654,"[0]hard/[-109222/-99839740]soft"
3771,"[0]hard/[-109102/-101669224]soft"
3936,"[0]hard/[-108832/-82760712]soft"
3936,"[0]hard/[-108778/-82760712]soft"
3937,"[0]hard/[-108688/-82770824]soft"
4119,"[0]hard/[-108364/-91247184]soft"
4120,"[0]hard/[-108302/-91247184]soft"
4122,"[0]hard/[-108164/-91360712]soft"
4122,"[0]hard/[-108006/-99839740]soft"
4183,"[0]hard/[-107974/-91112496]soft"
4205,"[0]hard/[-107788/-91233236]soft"
4585,"[0]hard/[-107772/-91462632]soft"
5107,"[0]hard/[-107682/-90913780]soft"
5111,"[0]hard/[-107646/-91080148]soft"
5111,"[0]hard/[-107642/-91080148]soft"
5184,"[0]hard/[-106576/-100077532]soft"
6369,"[0]hard/[-106286/-99839740]soft"
6369,"[0]hard/[-106270/-99916348]soft"
6790,"[0]hard/[-106218/-99839740]soft"
7115,"[0]hard/[-106210/-99840124]soft"
7120,"[0]hard/[-106202/-100003708]soft"
7120,"[0]hard/[-106194/-100003708]soft"
7121,"[0]hard/[-106194/-99919132]soft"
7293,"[0]hard/[-106172/-99597276]soft"
7294,"[0]hard/[-106124/-99760732]soft"
7296,"[0]hard/[-106098/-99760732]soft"
8081,"[0]hard/[-106086/-99760732]soft"
8148,"[0]hard/[-106082/-100077532]soft"
8176,"[0]hard/[-106082/-99839740]soft"
8250,"[0]hard/[-106064/-100077532]soft"
8253,"[0]hard/[-106032/-100077532]soft"
8253,"[0]hard/[-106010/-100077532]soft"
9234,"[0]hard/[-106010/-99839740]soft"
9250,"[0]hard/[-106002/-99839740]soft"
9251,"[0]hard/[-105998/-99839740]soft"
9468,"[0]hard/[-105996/-100077532]soft"
9524,"[0]hard/[-105994/-100077532]soft"
9822,"[0]hard/[-105992/-100077532]soft"
10066,"[0]hard/[-105988/-100077532]soft"
10994,"[0]hard/[-105984/-100077532]soft"
10997,"[0]hard/[-105980/-100077532]soft"
11318,"[0]hard/[-105980/-99839740]soft"
